college,state,year,round,quota,category,gender,closing_rank
Bangalore Medical College and Research Institute Bangalore,Karnataka,2025,Round 1,State Quota,General,All,1299
Bangalore Medical College and Research Institute Bangalore,Karnataka,2025,Round 2,State Quota,General,All,3025
Bangalore Medical College and Research Institute Bangalore,Karnataka,2025,Mop-up Round,State Quota,General,All,3478
"Shri Atal Bihari Vajpayee, Bangaluru",Karnataka,2025,Round 1,State Quota,General,All,3487
"Shri Atal Bihari Vajpayee, Bangaluru",Karnataka,2025,Round 2,State Quota,General,All,7669
"Shri Atal Bihari Vajpayee, Bangaluru",Karnataka,2025,Mop-up Round,State Quota,General,All,48594
"Kasturba Medical College, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,3558
"Kasturba Medical College, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,6786
"Mysore Medical College, Mysore",Karnataka,2025,Round 1,State Quota,General,All,4053
"Mysore Medical College, Mysore",Karnataka,2025,Round 2,State Quota,General,All,8394
"Mysore Medical College, Mysore",Karnataka,2025,Mop-up Round,State Quota,General,All,30129
"ESI&PG, Medical College, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,6404
"ESI&PG, Medical College, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,12937
MS Ramaiah Medical College Bangalore,Karnataka,2025,Round 1,State Quota,General,All,6905
MS Ramaiah Medical College Bangalore,Karnataka,2025,Round 2,State Quota,General,All,11776
MS Ramaiah Medical College Bangalore,Karnataka,2025,Mop-up Round,State Quota,General,All,61685
"JSS Medical College, Mysore",Karnataka,2025,Round 1,State Quota,General,All,7669
"JSS Medical College, Mysore",Karnataka,2025,Round 2,State Quota,General,All,14777
"Karnataka Institute of MS, Hubli",Karnataka,2025,Round 1,State Quota,General,All,8343
"Karnataka Institute of MS, Hubli",Karnataka,2025,Round 2,State Quota,General,All,13488
"Mandya Institute of MS, Mandya",Karnataka,2025,Round 1,State Quota,General,All,11478
"Mandya Institute of MS, Mandya",Karnataka,2025,Round 2,State Quota,General,All,15588
"Mandya Institute of MS, Mandya",Karnataka,2025,Mop-up Round,State Quota,General,All,54305
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,11641
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,18774
"Father Mullers, Inst of MS, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,13394
"Father Mullers, Inst of MS, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,21705
"Vijayanagar Institute of MS, Bellary",Karnataka,2025,Round 1,State Quota,General,All,15845
"Vijayanagar Institute of MS, Bellary",Karnataka,2025,Round 2,State Quota,General,All,23690
"Hassan Institute of MS, Hassan",Karnataka,2025,Round 1,State Quota,General,All,16221
"Hassan Institute of MS, Hassan",Karnataka,2025,Round 2,State Quota,General,All,21862
"Belagavi Institute of MS, Belagavi",Karnataka,2025,Round 1,State Quota,General,All,16260
"Belagavi Institute of MS, Belagavi",Karnataka,2025,Round 2,State Quota,General,All,23365
"Vydehi Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,16640
"Vydehi Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,23885
"Shimoga Institute of MS, Shimoga",Karnataka,2025,Round 1,State Quota,General,All,16967
"Shimoga Institute of MS, Shimoga",Karnataka,2025,Round 2,State Quota,General,All,21676
"Gulbarga Institute of MS, Gulbarga",Karnataka,2025,Round 1,State Quota,General,All,17229
"Gulbarga Institute of MS, Gulbarga",Karnataka,2025,Round 2,State Quota,General,All,23671
"ESIC Medical College, Gulbarga",Karnataka,2025,Round 1,State Quota,General,All,18637
"ESIC Medical College, Gulbarga",Karnataka,2025,Round 2,State Quota,General,All,28962
"K S Hegde, Medical College, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,20155
"K S Hegde, Medical College, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,29496
"BGS Globle Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,22116
"BGS Globle Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,31415
"Chamrajanagar Institute of MS, Chamrajanagar",Karnataka,2025,Round 1,State Quota,General,All,23743
"Chamrajanagar Institute of MS, Chamrajanagar",Karnataka,2025,Round 2,State Quota,General,All,31696
"SDM Medical College, Dharwad",Karnataka,2025,Round 1,State Quota,General,All,24206
"SDM Medical College, Dharwad",Karnataka,2025,Round 2,State Quota,General,All,30648
"JJM Medical College, Davangere",Karnataka,2025,Round 1,State Quota,General,All,24255
"JJM Medical College, Davangere",Karnataka,2025,Round 2,State Quota,General,All,31492
"Gadag Institute of MS, Gadag",Karnataka,2025,Round 1,State Quota,General,All,27154
"Gadag Institute of MS, Gadag",Karnataka,2025,Round 2,State Quota,General,All,32257
"Raichur Institute of MS, Raichur",Karnataka,2025,Round 1,State Quota,General,All,27935
"Raichur Institute of MS, Raichur",Karnataka,2025,Round 2,State Quota,General,All,39240
"Bidar Institute of MS, Bidar",Karnataka,2025,Round 1,State Quota,General,All,28765
"Bidar Institute of MS, Bidar",Karnataka,2025,Round 2,State Quota,General,All,37203
"Bidar Institute of MS, Bidar",Karnataka,2025,Mop-up Round,State Quota,General,All,53782
"A.J. Institute of MS, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,29055
"A.J. Institute of MS, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,39539
"A.J. Institute of MS, Mangalore",Karnataka,2025,Mop-up Round,State Quota,General,All,47180
"Koppal Inst of MS, Koppal",Karnataka,2025,Round 1,State Quota,General,All,29397
"Koppal Inst of MS, Koppal",Karnataka,2025,Round 2,State Quota,General,All,38538
"Chikkaballapura Inst Of Medical Sciences, Chikkaballapura",Karnataka,2025,Round 1,State Quota,General,All,29432
"Chikkaballapura Inst Of Medical Sciences, Chikkaballapura",Karnataka,2025,Round 2,State Quota,General,All,38361
"PES University Institute of MSR, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,30688
"PES University Institute of MSR, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,44066
Dr BR Ambedkar MC Bangalore,Karnataka,2025,Round 1,State Quota,General,All,31037
Dr BR Ambedkar MC Bangalore,Karnataka,2025,Round 2,State Quota,General,All,41969
Kodagu Inst of Medical Sciences Kodagu,Karnataka,2025,Round 1,State Quota,General,All,31234
Kodagu Inst of Medical Sciences Kodagu,Karnataka,2025,Round 2,State Quota,General,All,38075
"Yenepoya Medical College, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,33597
"Yenepoya Medical College, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,41209
Chikkamagaluru Inst of Medical Science,Karnataka,2025,Round 1,State Quota,General,All,36665
Chikkamagaluru Inst of Medical Science,Karnataka,2025,Round 2,State Quota,General,All,45629
Chikkamagaluru Inst of Medical Science,Karnataka,2025,Mop-up Round,State Quota,General,All,62389
"Dr Chandramma Dayanand Sagar Inst of MS, Hubli",Karnataka,2025,Round 1,State Quota,General,All,38287
"Dr Chandramma Dayanand Sagar Inst of MS, Hubli",Karnataka,2025,Round 2,State Quota,General,All,48595
"Haveri Inst of Medical Sciences, Haveri",Karnataka,2025,Round 1,State Quota,General,All,41063
"Haveri Inst of Medical Sciences, Haveri",Karnataka,2025,Round 2,State Quota,General,All,49827
"SS Institute of MS, Davangere",Karnataka,2025,Round 1,State Quota,General,All,41425
"SS Institute of MS, Davangere",Karnataka,2025,Round 2,State Quota,General,All,51850
"SS Institute of MS, Davangere",Karnataka,2025,Mop-up Round,State Quota,General,All,72124
"Adichunchanagiri, Institute of Medical Sciences, Bellur",Karnataka,2025,Round 1,State Quota,General,All,42735
"Adichunchanagiri, Institute of Medical Sciences, Bellur",Karnataka,2025,Round 2,State Quota,General,All,54541
"MVJ Medical College, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,43416
"MVJ Medical College, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,59196
"MVJ Medical College, Bangalore",Karnataka,2025,Mop-up Round,State Quota,General,All,63990
"Yadgiri Inst of Medical Science,Yadgiri",Karnataka,2025,Round 1,State Quota,General,All,43839
"Yadgiri Inst of Medical Science,Yadgiri",Karnataka,2025,Round 2,State Quota,General,All,52598
"Chitradurga Medical College, Chitradurga",Karnataka,2025,Round 1,State Quota,General,All,44690
"Chitradurga Medical College, Chitradurga",Karnataka,2025,Round 2,State Quota,General,All,55005
"Chitradurga Medical College, Chitradurga",Karnataka,2025,Mop-up Round,State Quota,General,All,70627
"Mahadevappa Rampure MC, Gulburga",Karnataka,2025,Round 1,State Quota,General,All,46847
"Mahadevappa Rampure MC, Gulburga",Karnataka,2025,Round 2,State Quota,General,All,61966
"Mahadevappa Rampure MC, Gulburga",Karnataka,2025,Mop-up Round,State Quota,General,All,73735
"Sapthagiri Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,47164
"Sapthagiri Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,61306
"Sapthagiri Institute of MS, Bangalore",Karnataka,2025,Mop-up Round,State Quota,General,All,71867
"East Point College, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,51850
"East Point College, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,67539
"East Point College, Bangalore",Karnataka,2025,Mop-up Round,State Quota,General,All,74200
Sri Madhusudan Sai Inst of Medical Sc.,Karnataka,2025,Round 1,State Quota,General,All,52568
Sri Madhusudan Sai Inst of Medical Sc.,Karnataka,2025,Round 2,State Quota,General,All,58778
"St John Medical College, Bangalore",Karnataka,2025,Round 1,Management Quota,General,All,13121
"St John Medical College, Bangalore",Karnataka,2025,Round 2,Management Quota,General,All,16608
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Round 1,Management Quota,General,All,66108
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Round 2,Management Quota,General,All,75782
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Mop-up Round,Management Quota,General,All,84946
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Stray Round,Management Quota,General,All,107337
"Father Mullers, Inst of MS, Mangalore",Karnataka,2025,Round 1,Management Quota,General,All,68829
"Father Mullers, Inst of MS, Mangalore",Karnataka,2025,Round 2,Management Quota,General,All,87314
"Vydehi Institute of MS, Bangalore",Karnataka,2025,Round 1,Management Quota,General,All,69182
