college,state,year,round,quota,category,gender,closing_rank
Bangalore Medical College and Research Institute Bangalore,Karnataka,2025,Round 1,State Quota,General,All,1713
Bangalore Medical College and Research Institute Bangalore,Karnataka,2025,Round 2,State Quota,General,All,2964
Bangalore Medical College and Research Institute Bangalore,Karnataka,2025,Mop-up Round,State Quota,General,All,3735
"Shri Atal Bihari Vajpayee, Bangaluru",Karnataka,2025,Round 1,State Quota,General,All,5379
"Shri Atal Bihari Vajpayee, Bangaluru",Karnataka,2025,Round 2,State Quota,General,All,10979
"Shri Atal Bihari Vajpayee, Bangaluru",Karnataka,2025,Mop-up Round,State Quota,General,All,25399
"Kasturba Medical College, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,4321
"Kasturba Medical College, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,7248
"Mysore Medical College, Mysore",Karnataka,2025,Round 1,State Quota,General,All,6633
"Mysore Medical College, Mysore",Karnataka,2025,Round 2,State Quota,General,All,11721
"Mysore Medical College, Mysore",Karnataka,2025,Mop-up Round,State Quota,General,All,21374
"ESI&PG, Medical College, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,10818
"ESI&PG, Medical College, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,17193
MS Ramaiah Medical College Bangalore,Karnataka,2025,Round 1,State Quota,General,All,9641
MS Ramaiah Medical College Bangalore,Karnataka,2025,Round 2,State Quota,General,All,13788
MS Ramaiah Medical College Bangalore,Karnataka,2025,Mop-up Round,State Quota,General,All,30887
"JSS Medical College, Mysore",Karnataka,2025,Round 1,State Quota,General,All,9720
"JSS Medical College, Mysore",Karnataka,2025,Round 2,State Quota,General,All,16521
"Karnataka Institute of MS, Hubli",Karnataka,2025,Round 1,State Quota,General,All,8520
"Karnataka Institute of MS, Hubli",Karnataka,2025,Round 2,State Quota,General,All,13974
"Mandya Institute of MS, Mandya",Karnataka,2025,Round 1,State Quota,General,All,13371
"Mandya Institute of MS, Mandya",Karnataka,2025,Round 2,State Quota,General,All,23456
"Mandya Institute of MS, Mandya",Karnataka,2025,Mop-up Round,State Quota,General,All,43259
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,13766
"Kempegowda Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,21569
"Father Mullers, Inst of MS, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,14661
"Father Mullers, Inst of MS, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,18767
"Vijayanagar Institute of MS, Bellary",Karnataka,2025,Round 1,State Quota,General,All,16138
"Vijayanagar Institute of MS, Bellary",Karnataka,2025,Round 2,State Quota,General,All,25481
"Hassan Institute of MS, Hassan",Karnataka,2025,Round 1,State Quota,General,All,15475
"Hassan Institute of MS, Hassan",Karnataka,2025,Round 2,State Quota,General,All,28575
"Belagavi Institute of MS, Belagavi",Karnataka,2025,Round 1,State Quota,General,All,19323
"Belagavi Institute of MS, Belagavi",Karnataka,2025,Round 2,State Quota,General,All,25269
"Vydehi Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,17923
"Vydehi Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,30240
"Shimoga Institute of MS, Shimoga",Karnataka,2025,Round 1,State Quota,General,All,16682
"Shimoga Institute of MS, Shimoga",Karnataka,2025,Round 2,State Quota,General,All,23125
"Gulbarga Institute of MS, Gulbarga",Karnataka,2025,Round 1,State Quota,General,All,26860
"Gulbarga Institute of MS, Gulbarga",Karnataka,2025,Round 2,State Quota,General,All,34822
"ESIC Medical College, Gulbarga",Karnataka,2025,Round 1,State Quota,General,All,18462
"ESIC Medical College, Gulbarga",Karnataka,2025,Round 2,State Quota,General,All,24788
"K S Hegde, Medical College, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,20793
"K S Hegde, Medical College, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,36221
"BGS Globle Institute of MS, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,23140
"BGS Globle Institute of MS, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,30846
"Chamrajanagar Institute of MS, Chamrajanagar",Karnataka,2025,Round 1,State Quota,General,All,29921
"Chamrajanagar Institute of MS, Chamrajanagar",Karnataka,2025,Round 2,State Quota,General,All,43844
"SDM Medical College, Dharwad",Karnataka,2025,Round 1,State Quota,General,All,24830
"SDM Medical College, Dharwad",Karnataka,2025,Round 2,State Quota,General,All,41586
"JJM Medical College, Davangere",Karnataka,2025,Round 1,State Quota,General,All,21328
"JJM Medical College, Davangere",Karnataka,2025,Round 2,State Quota,General,All,38579
"Gadag Institute of MS, Gadag",Karnataka,2025,Round 1,State Quota,General,All,27138
"Gadag Institute of MS, Gadag",Karnataka,2025,Round 2,State Quota,General,All,36776
"Raichur Institute of MS, Raichur",Karnataka,2025,Round 1,State Quota,General,All,27347
"Raichur Institute of MS, Raichur",Karnataka,2025,Round 2,State Quota,General,All,33558
"Bidar Institute of MS, Bidar",Karnataka,2025,Round 1,State Quota,General,All,27570
"Bidar Institute of MS, Bidar",Karnataka,2025,Round 2,State Quota,General,All,42824
"Bidar Institute of MS, Bidar",Karnataka,2025,Mop-up Round,State Quota,General,All,63877
"A.J. Institute of MS, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,28869
"A.J. Institute of MS, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,44470
"A.J. Institute of MS, Mangalore",Karnataka,2025,Mop-up Round,State Quota,General,All,53686
"Koppal Inst of MS, Koppal",Karnataka,2025,Round 1,State Quota,General,All,34205
"Koppal Inst of MS, Koppal",Karnataka,2025,Round 2,State Quota,General,All,35271
"Chikkaballapura Inst Of Medical Sciences, Chikkaballapura",Karnataka,2025,Round 1,State Quota,General,All,37522
"Chikkaballapura Inst Of Medical Sciences, Chikkaballapura",Karnataka,2025,Round 2,State Quota,General,All,54946
"PES University Institute of MSR, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,34808
"PES University Institute of MSR, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,49367
Dr BR Ambedkar MC Bangalore,Karnataka,2025,Round 1,State Quota,General,All,37022
Dr BR Ambedkar MC Bangalore,Karnataka,2025,Round 2,State Quota,General,All,54212
Kodagu Inst of Medical Sciences Kodagu,Karnataka,2025,Round 1,State Quota,General,All,35975
Kodagu Inst of Medical Sciences Kodagu,Karnataka,2025,Round 2,State Quota,General,All,52863
"Yenepoya Medical College, Mangalore",Karnataka,2025,Round 1,State Quota,General,All,36433
"Yenepoya Medical College, Mangalore",Karnataka,2025,Round 2,State Quota,General,All,42727
Chikkamagaluru Inst of Medical Science,Karnataka,2025,Round 1,State Quota,General,All,32054
Chikkamagaluru Inst of Medical Science,Karnataka,2025,Round 2,State Quota,General,All,46039
Chikkamagaluru Inst of Medical Science,Karnataka,2025,Mop-up Round,State Quota,General,All,62220
"Dr Chandramma Dayanand Sagar Inst of MS, Hubli",Karnataka,2025,Round 1,State Quota,General,All,38350
"Dr Chandramma Dayanand Sagar Inst of MS, Hubli",Karnataka,2025,Round 2,State Quota,General,All,56577
"Haveri Inst of Medical Sciences, Haveri",Karnataka,2025,Round 1,State Quota,General,All,38243
"Haveri Inst of Medical Sciences, Haveri",Karnataka,2025,Round 2,State Quota,General,All,56771
"SS Institute of MS, Davangere",Karnataka,2025,Round 1,State Quota,General,All,39430
"SS Institute of MS, Davangere",Karnataka,2025,Round 2,State Quota,General,All,57557
"SS Institute of MS, Davangere",Karnataka,2025,Mop-up Round,State Quota,General,All,97575
"Adichunchanagiri, Institute of Medical Sciences, Bellur",Karnataka,2025,Round 1,State Quota,General,All,39050
"Adichunchanagiri, Institute of Medical Sciences, Bellur",Karnataka,2025,Round 2,State Quota,General,All,49919
"MVJ Medical College, Bangalore",Karnataka,2025,Round 1,State Quota,General,All,33631
"MVJ Medical College, Bangalore",Karnataka,2025,Round 2,State Quota,General,All,55045
"MVJ Medical College, Bangalore",Karnataka,2025,Mop-up Round,State Quota,General,All,79096
"Yadgiri Inst of Medical Science,Yadgiri",Karnataka,2025,Round 1,State Quota,General,All,43784
"Yadgiri Inst of Medical Science,Yadgiri",Karnataka,2025,Round 2,State Quota,General,All,53842
"Chitradurga Medical College, Chitradurga",Karnataka,2025,Round 1,State Quota,General,All,39920
